CFF_reference,Critical_appraisal_keep,Critical_appraisal,Class,Spname_common,Spname_raw,Species_phylo,Spname_accepted,habitat,forage_light_level,mode_of_life,mode-of_life_ref,body_mass_us,body_mass_ref,Method_raw,Method,CFF_value_type,CFF,CFF_max_from_Lafitte_2022,Comments_from_Lafitte_2022,,
"Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders 2016 Ultra-Rapid Vision in Birds Ultra-Rapid Vision in Birds Bostrom, Jannika E.; Dimitrova, Marina; Canton, Cindy; Hastad, Olle; Qvarnstrom, Anna; Odeen, Anders",y,L,Aves,European pied flycatcher,Ficedula hypoleuca,Ficedula_hypoleuca,"Ficedula hypoleucaÊPallas, 1764",volant,high,pursuit,Handbook_birds_of_the_world,12.775,amniote,Behavioural,Behavioural,mean,128.1,146,mean at 1500 cd.m-2 ; maximum 146 Hz,,
"Jarvis, JR; Taylor, NR; Prescott, NB; Meeks, I; Wathes, CM 2002 Measuring and modelling the photopic flicker sensitivity of the chicken (Gallus g. domesticus) Measuring and modelling the photopic flicker sensitivity of the chicken (Gallus g. domesticus) Jarvis, JR; Taylor, NR; Prescott, NB; Meeks, I; Wathes, CM",y,M,Aves,Chicken,Gallus gallus domesticus,Gallus_gallus,"Gallus gallusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_birds_of_the_world,912.5,amniote,Behavioural,Behavioural,Unknown,71.5,71.5,"CFF for maximum light intensity ; mean ? ; in abstract, no values in results and discussion",,
"NUBOER, JFW; COEMANS, MAJM; VOS, JJ 1992 ARTIFICIAL LIGHTING IN POULTRY HOUSES - DO HENS PERCEIVE THE MODULATION OF FLUORESCENT LAMPS AS FLICKER ARTIFICIAL LIGHTING IN POULTRY HOUSES - DO HENS PERCEIVE THE MODULATION OF FLUORESCENT LAMPS AS FLICKER NUBOER, JFW; COEMANS, MAJM; VOS, JJ",y,M,Aves,Chicken,Gallus gallus domesticus,Gallus_gallus,"Gallus gallusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_birds_of_the_world,912.5,amniote,Behavioural,Behavioural,maximum,105,105,mean value ; underestimated by behavioural noise ; not capable too reach max CFF but established to max CFF ; abstract value; diagram reading,,
"Railton, Renee Caron Richards; Foster, T. Mary; Temple, William 2009 A comparison of two methods for assessing critical flicker fusion frequency in hens A comparison of two methods for assessing critical flicker fusion frequency in hens Railton, Renee Caron Richards; Foster, T. Mary; Temple, William",y,M,Aves,Chicken,Gallus gallus domesticus,Gallus_gallus,"Gallus gallusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_of_birds_of_the_world,912.5,amniote,Behavioural for successive presentation method,Behavioural,range,82.6,95.4,"range of values for successive presentation method; Behavioural for simultaneous presentation method = 68.5-92.3 Hz, same parameters otherwise",,
"Rubene, Diana; Hastad, Olle; Tauson, Ragnar; Wall, Helena; Odeen, Anders 2010 The presence of UV wavelengths improves the temporal resolution of the avian visual system The presence of UV wavelengths improves the temporal resolution of the avian visual system Rubene, Diana; Hastad, Olle; Tauson, Ragnar; Wall, Helena; Odeen, Anders",y,M,Aves,Chicken,Gallus gallus domesticus,Gallus_gallus,"Gallus gallusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_of_birds_of_the_world,912.5,amniote,Behavioural,Behavioural,mean,83,83,for UV light at maximum intensity ; 44 Hz white UV free at lowest intensity,,
"Lisney, Thomas J.; Ekesten, Bjorn; Tauson, Ragnar; Hastad, Olle; Odeen, Anders 2012 Using electroretinograms to assess flicker fusion frequency in domestic hens Gallus gallus domesticus Using electroretinograms to assess flicker fusion frequency in domestic hens Gallus gallus domesticus Lisney, Thomas J.; Ekesten, Bjorn; Tauson, Ragnar; Hastad, Olle; Odeen, Anders",y,L,Aves,Chicken,Gallus gallus domesticus (2 genotypes),Gallus_gallus,"Gallus gallusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_birds_of_the_world,912.5,amniote,Behavioural,Behavioural,range,104,119,average range ; maximum recorded value for 2740 cd.m-2 of 118-119 Hz for three individual hens,,
"Lisney, Thomas J.; Rubene, Diana; Rozsa, Jani; Lovlie, Hanne; Hastad, Olle; Odeen, Anders 2011 Behavioural assessment of flicker fusion frequency in chicken Gallus gallus domesticus Behavioural assessment of flicker fusion frequency in chicken Gallus gallus domesticus Lisney, Thomas J.; Rubene, Diana; Rozsa, Jani; Lovlie, Hanne; Hastad, Olle; Odeen, Anders",y,L,Aves,Chicken,Gallus gallus domesticus (old game breed),Gallus_gallus,"Gallus gallusÊLinnaeus, 1758",terrestrial,high,forage,Handbook_birds_of_the_world,912.5,amniote,ERG,Electrophysiology,mean,87,96,mean ; for a maximum light intensity of 1375 cd m2 ; maximum individual value of 100 Hz ; ,,
"Bostrom, Jannika E.; Haller, Nicola K.; Dimitrova, Marina; Odeen, Anders; Kelber, Almut 2017 The flicker fusion frequency of budgerigars (Melopsittacus undulatus) revisited The flicker fusion frequency of budgerigars (Melopsittacus undulatus) revisited Bostrom, Jannika E.; Haller, Nicola K.; Dimitrova, Marina; Odeen, Anders; Kelber, Almut",y,M,Aves,Budgerigar,Melopsittacus undulatus,Melopsittacus_undulatus,"Melopsittacus undulatusÊShaw, 1805",volant,high,forage,Handbook_birds_of_the_world,29.05,amniote,Behavioural,Behavioural,range,85,93,range of individual values of CFF for each budgerigars; three birds had CFF at 3500 cd/m_ and one CFF at 93 Hz for 7200 cd/m_ so AL calculated a ponderated mean,,
"Ginsburg, N.; Nilsson, V. 1971 MEASURING FLICKER THRESHOLDS IN THE BUDGERIGAR MEASURING FLICKER THRESHOLDS IN THE BUDGERIGAR Ginsburg, N.; Nilsson, V.",y,M,Aves,Buderigar,Melopsittacus undulatus,Melopsittacus_undulatus,"Melopsittacus undulatusÊShaw, 1805",volant,high,forage,Handbook_birds_of_the_world,29.05,amniote,Behavioural,Behavioural,range,69.35,74.7,range of individual (repetition) mean of CFF (for all trials for each individual) at highest light intensity ,,
"Ronald, K. L.; Fernandez-Juricic, E.; Lucas, J. R.  2018 Mate choice in the eye and ear of the beholder? Female multimodal sensory configuration influences her preferences Mate choice in the eye and ear of the beholder? Female multimodal sensory configuration influences her preferences Ronald, K. L.; Fernandez-Juricic, E.; Lucas, J. R. ",y,M,Aves,Brown-headed cowbird,Molothrus ater,Molothrus_ater,"Molothrus aterÊBoddaert, 1783",volant,high,forage,Handbook_of_birds_of_the_world,42.55,amniote,ERG,Electrophysiology,mean,114.7,153.8,mean value and SE for unique intensity calculated by AL ; range of 94.5-153.8 Hz,check this is actully a measure of flicker fusion,
"Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut 2020 How fast can raptors see? How fast can raptors see? Potier, Simon; Lieuvin, Margaux; Pfaff, Michael; Kelber, Almut",y,M,Aves,Harris's hawk,Parabuteo unicinctus,Parabuteo_unicinctus,"Parabuteo unicinctusÊTemminck, 1824",volant,high,pursuit,Handbook_of_birds_of_the_world,939.63,amniote,Behavioural,Behavioural,mean,77.7,81,mean value of CFF ; maximum: 81 Hz,,
"Crozier, W. J.; Wolf, E. 1944 Flicker response contours for the sparrow, and the theory of the avian pecten Flicker response contours for the sparrow, and the theory of the avian pecten Crozier, W. J.; Wolf, E.",y,M,Aves,House sparrow,Passer domesticus,Passer_domesticus,"Passer domesticusÊLinnaeus, 1758",volant,high,forage,Handbook_of_birds_of_the_world,27.7,amniote,Optomotor,Behavioural,mean,55,55,range of mean value at maximum intensity tested (for different 'tl'?),,
"Maddocks, S.A., Goldsmith, A.R. and Cuthill, I.C., 2001. The influence of flicker rate on plasma corticosterone levels of European starlings, Sturnus vulgaris. General and comparative endocrinology, 124(3), pp.315-320.",y,Not_appraised,Aves,The common starling,Sturnus vulgaris,Sturnus_vulgaris,,volant,high,forage,Handbook_birds_of_the_world,77.675,amniote,ERG,Electrophysiology,,100,100,,,
"Crozier, W. J.; Wolf, E. 1941 The simplex flicker threshold contour for the zebra finch The simplex flicker threshold contour for the zebra finch Crozier, W. J.; Wolf, E.",y,M,Aves,Zebra Finch,Taeniopygia guttata,Taeniopygia_guttata,"Taeniopygia guttataÊVieillot, 1817",volant,high,forage,Handbook_of_birds_of_the_world,11.93333333,amniote,Optomotor,Behavioural,mean,55,55,highest intensity mean value,,
"Dreyfert, T; Holmberg, Kaj; Struwe, G 1979 Critical flicker fusion frequency of the river lamprey (Lampetra fluviatilis). Critical flicker fusion frequency of the river lamprey (Lampetra fluviatilis). Dreyfert, T; Holmberg, Kaj; Struwe, G",y,M,Cephalaspidomorphi,River Lamprey,Lampetra fluviatilis,Lampetra_fluviatilis,"Lampetra fluviatilisÊLinnaeus, 1758",demersal,low,forage,fishebase,54,fishbase_conversion_from 32cm,ERG,Electrophysiology,mean,24,31.1,18.2-31.1 Hz range of maximal CFF at highest light intensities,,
"Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M. 2017 Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M.",y,L,Cephalaspidomorphi,Short-headed lamprey,Mordacia mordax,Mordacia_mordax,"Mordacia mordaxÊRichardson, 1846",demersal,low,forage,Fishbase,264.5,"based_on_median_mass_for Modacia_notes_that adulats_are_indistigusable_between_species_from_Miller, A.K., Baker, C., Kitson, J.C. et al. The Southern Hemisphere lampreys (Geotriidae and Mordaciidae). Rev Fish Biol Fisheries 31, 201–232 (2021). https://doi.org/10.1007/s11160-021-09639-x",ERG,Electrophysiology,mean,31.1,31.1,"24¡C maximum tested; ""4.5 x 10-4 W cm-2""",,
"Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M. 2017 Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Retinal temporal resolution and contrast sensitivity in the parasitic lamprey Mordacia mordax and its non-parasitic derivative Mordacia praecox Warrington, Rachael E.; Hart, Nathan S.; Potter, Ian C.; Collin, Shaun P.; Hemmi, Jan M.",y,L,Cephalaspidomorphi,Australian brook lamprey,Mordacia praecox,Mordacia_praecox,"Mordacia praecoxÊPotter, 1968",demersal,low,forage,Fishbase,264.5,"based_on_median_mass_for Modacia_notes_that adulats_are_indistigusable_between_species_from_Miller, A.K., Baker, C., Kitson, J.C. et al. The Southern Hemisphere lampreys (Geotriidae and Mordaciidae). Rev Fish Biol Fisheries 31, 201–232 (2021). https://doi.org/10.1007/s11160-021-09639-x",ERG,Electrophysiology,mean,36.9,36.9,"24¡C maximum tested; ""4.5 x 10-4 W cm-2""",,
"BULLOCK, TH; BUDELMANN, BU 1991 SENSORY EVOKED-POTENTIALS IN UNANESTHETIZED UNRESTRAINED CUTTLEFISH - A NEW PREPARATION FOR BRAIN PHYSIOLOGY IN CEPHALOPODS SENSORY EVOKED-POTENTIALS IN UNANESTHETIZED UNRESTRAINED CUTTLEFISH - A NEW PREPARATION FOR BRAIN PHYSIOLOGY IN CEPHALOPODS BULLOCK, TH; BUDELMANN, BU",y,H,Cephalopoda,Common cuttlefish,Sepia officinalis,Sepia_officinalis,"Sepia officinalisÊLinnaeus, 1758",demersal,high,ballistic,Sealifebase,1014.782,Based_on_sealifebase_at20cm_and_b_2.78_and_a_0.2427,EEG_electroencephalogram_and_Visual_Evoked_Potentials_VEP,Electrophysiology,maximum,30,30,lower fusion frequency ; always lower than 30 Hz : maximum value,,
"Horch, K. and Salmon, M., 2009. Frequency response characteristics of isolated retinas from hatchling leatherback (Dermochelys coriacea L.) and loggerhead (Caretta caretta L.) sea turtles. Journal of neuroscience methods, 178(2), pp.276-283.",y,Not_appraised,Cheloniidae,Loggerhead,Caretta_caretta,Caretta_caretta_HBS112700,,pelagic,high,forage,Handbook_of_turtles_of_the_world,79000,"median size from Pina, A., Martins, S., Abu-Raya, M. and Marco, A., 2020. Body condition of loggerhead turtles Caretta caretta nesting in Cabo Verde is independent of their reproductive output. Zool. Caboverdiana, 8, pp.23-31.",ERG,Electrophysiology,,40,40,,,
"Fritsches, K.A. and Warrant, E.J., 2006. Differences in the visual capabilities of sea turtles and blue water fishesÑimplications for bycatch reduction. Sea turtle and pelagic fish sensory biology: developing techniques to reduce sea turtle bycatch in longline fisheries. National Oceanic and Atmospheric Administration, Honolulu, HI. NOAA Tech Memo NMFS-PIFSC-7, pp.1-7.",y,Not_appraised,Cheloniidae,Green sea turtle,Chelonia_mydas,Chelonia_mydas_HBS109887,,pelagic,high,forage,Handbook_of_turtles_of_the_world,95440,"from_common_length_90cm_Wabnitz, C. and D. Pauly 2008 Length-weight relationships and additional growth parameters for sea turtles. In Palomares, M.L.D., Pauly, D. (Eds.) Van Bertalanffy Growth Parameters of Non-fish Marine Organisms. Fisheries Centre Research Reports 16(10). Fisheries Centre, University of British Columbia [ISSN 1198-6727], pp. 92-101. ",ERG,Electrophysiology,,40,40,,,
"Horch, K. and Salmon, M., 2009. Frequency response characteristics of isolated retinas from hatchling leatherback (Dermochelys coriacea L.) and loggerhead (Caretta caretta L.) sea turtles. Journal of neuroscience methods, 178(2), pp.276-283.",y,Not_appraised,Cheloniidae,Leatherback,Dermochelys_coriacea,Dermochelys_coriacea_MVZ149847,,pelagic,high,forage,Handbook_of_turtles_of_the_world,361300,sealife_base_from_scaling_of_median_159cm_ from_Ref_74669,ERG,Electrophysiology,,15,15,,,
"O'Connor, Megan; Nilsson, Dan-E.; Garm, Anders 2010 Temporal properties of the lens eyes of the box jellyfish Tripedalia cystophora Temporal properties of the lens eyes of the box jellyfish Tripedalia cystophora O'Connor, Megan; Nilsson, Dan-E.; Garm, Anders",y,M,Cnidaria,Box jellyfish,Tripedalia cystophora,Tripedalia_cystophora,"Tripedalia cystophoraÊConant, 1897",pelagic,high,forage,"Based_off_drift_feeding_Garm, A.; O'Connor, M.; Parkefelt, L.; Nilsson, D.-E. (2007). Visually guided obstacle avoidance in the box jellyfish Tripedalia cystophora and Chiropsella bronzie. Journal of Experimental Biology. 210 (20): 3616Ð3623.",0.245,"based_on_allometric_scaling_for_6.5mm_Bell_diameter_using_data_from_Pitt KA, Duarte CM, Lucas CH, Sutherland KR, Condon RH, Mianzan H, Purcell JE, Robinson KL, Uye S. Jellyfish body plans provide allometric advantages beyond low carbon content. PLoS One. 2013 Aug 13;8(8):e72683. doi: 10.1371/journal.pone.0072683. PMID: 23967331; PMCID: PMC3742524.",ERG,Electrophysiology,mean,9.75,10,range of means for upper lens eye ; 8 Hz for lower lence eye,,
"McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M. 2010 Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M.",y,M,Elasmobranchii,Blacknose shark,Carcharhinus acronotus,Carcharhinus_acronotus,"Carcharhinus acronotusÊPoey, 1860",pelagic,low,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,18800,"fisebase_114cm_ Crawford, R., 1993. World record game fishes 1993. The International Game Fish Association, Pompano Beach, Florida. ",ERG,Electrophysiology,mean,18,18.9,"mean; photopic for CFF (max irradiance); and scotopic 16 ± 1,0 Hz",,
"Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard 2014 Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard",y,L,Elasmobranchii,Sandbar shark,Carcharhinus plumbeus,Carcharhinus_plumbeus,"Carcharhinus plumbeusÊNardo, 1827",pelagic,low,ballistic,"Feeds mainly on bony fishes, also small sharks, cephalopods, and shrimps fishbase",4700,from cff paper,ERG,Electrophysiology,mean,21,22,"mean, maximum luminance, ""bottom dweller""",,
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",y,L,Elasmobranchii,Brownbanded bamboo shark,Chiloscyllium punctatum,Chiloscyllium_punctatum,"Chiloscyllium punctatumÊMŸller & Henle, 1838",demersal,low,ballistic,diet_finfish_fishbase,5900,mass from commen length of 38 and converted in fishbas,ERG,Electrophysiology,mean,44,48.1,"mean maximum light intensity value (CFF); ""CFFF""",,
"Litherland, L., 2009. Neuroethological studies on shark vision assessing the role of visual biology in habitat use and behaviour.",y,Not_appraised,Elasmobranchii,Tiger shark,Galeocerdo cuvier,Galeocerdo_cuvier,,pelagic,low,ballistic,finfish_fishbase,783200,"fishbase 500cm common length from  	Branstetter, S., J.A. Musick and J.A. Colvocoresses, 1987. A comparison of age and growth of the tiger shark, Galeocerdo cuvieri, from off Virginia and from the northwestern Gulf of Mexico. Fish. Bull. 85:269-279. ",ERG,Electrophysiology,,38,38,,,
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",y,L,Elasmobranchii,Puffadder shyshark,Haploblepharus edwardsii,Haploblepharus_edwardsii,"Haploblepharus edwardsiiÊSchinz, 1822",demersal,low,ballistic,diet_includes_finfish,1108.5,"fishbase_using_60cm_common_length_scaling_of_b_3.09_and_a_0.00355_based_on_sub_family_body_shape_fishbase_common_size_from_Ferrari, A.; Ferrari, A. (2002). Sharks. FireFly Books. p. 119. ISBN 978-1-55209-629-1.",ERG,Electrophysiology,mean,29,29.5,"mean maximum light intensity value (CFF); ""CFFF""; 130 m maximum depth occupied = Low light exposure following Healy et al. (2013))",,
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",y,M,Elasmobranchii,Epaulette shark,Hemiscyllium ocellatum,Hemiscyllium_ocellatum,"Hemiscyllium ocellatumÊBonnaterre, 1788",demersal,low,ballistic,diet_includes_finfish,2696.4,"fishbase_using_70cm_common_length_scaling_of_b_3.09_and_a_0.00355_based_on_sub_family_body_shape_fishbase_common_size_from_Ferrari, A.; Ferrari, A. (2002). Sharks. FireFly Books. p. 119. ISBN 978-1-55209-629-1.",ERG,Electrophysiology,mean,40,40.1,"mean maximum light intensity value (CFF); ""CFFF""",,
"Bullock, T.H., Hofmann, M.H., New, J.G. and Nahm, F.K., 1990. Dynamic properties of visual evoked potentials in the tectum of cartilaginous and bony fishes, with neuroethological implications. Journal of Experimental Zoology, 256(S5), pp.142-155.",y,Not_appraised,Elasmobranchii,Horn shark,Heterodontus francisci,Heterodontus_francisci,,demersal,low,forage,Predominatly_Cancer_irroratus,7200,fisebase_97cm common length,VEP,Electrophysiology,,20,20,,,
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",y,L,Elasmobranchii,Port Jackson shark,Heterodontus portusjacksoni,Heterodontus_portusjacksoni,"Heterodontus portusjacksoniÊMeyer, 1793",demersal,low,forage,diet_mainly_echinoderms_mollusc_worms,23918.21,fisebase_137cm common length,ERG,Electrophysiology,mean,28,31.6,"mean maximum light intensity value (CFF); ""CFFF""; 275 m maximum depth occupied = Low light exposure following Healy et al. (2013))",,
"Green, D. and Siegel, I., 1975. Double branched flicker fusion curves from the all-rod skate retina. Science, 188(4193), pp.1120-1122.",y,Not_appraised,Elasmobranchii,Little skate,Leucoraja erinacea,Leucoraja_erinacea,,demersal,low,forage,Predominatly_craps_fishbase,211.07,fisebase_33cm common length,ERG,Electrophysiology,,30,30,,,
"Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard 2014 Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Spectral sensitivity, luminous sensitivity, and temporal resolution of the visual systems in three sympatric temperate coastal shark species Kalinoski, Mieka; Hirons, Amy; Horodysky, Andrij; Brill, Richard",y,L,Elasmobranchii,Smooth dogfish,Mustelus canis,Mustelus_canis,"Mustelus canisÊMitchill, 1815",demersal,low,forage,based_on_annelid_and_other_slow_moving_species_in_diet_fishbase,3319.17,fisebase_100cm common length,ERG,Electrophysiology,mean,13,13.9,"mean, maximum luminance; ""crepuscular and nocturnal""",,
"Kobayashi, H., 1962. A comparative study on electroretinogram in fish, with spectral reference to ecological aspects. J. Shimonoseki Coll. Fish., 11, pp.17-148.",y,Not_appraised,Elasmobranchii,star spotted dogfish,Mustelus manazo,Mustelus_manazo,,demersal,low,forage,mainly_slow_moving_crustaceans_fishbase,40982.82,fisebase_220cm common length,ERG,Electrophysiology,,10,10,,,
"Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S. 2017 Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Electrophysiological measures of temporal resolution, contrast sensitivity and spatial resolving power in sharks Ryan, Laura A.; Hemmi, Jan M.; Collin, Shaun P.; Hart, Nathan S.",y,E,Elasmobranchii,Common smooth-hound,Mustelus mustelus,Mustelus_mustelus,"Mustelus mustelusÊLinnaeus, 1758",demersal,low,ballistic,fishbase_diet_includes_substatial_finfish,3319.17,fisebase_100cm common length,ERG,Electrophysiology,NA,29,29,"individual value (CFF) at maximum light intensity; ""CFFF""",,
"Gruber, S.H., 1969. The physiology of vision in the lemon shark, Negaprion brevirostris (Poey): a behavioral analysis. University of Miami.",y,Not_appraised,Elasmobranchii,Lemon shark,Negaprion brevirostris,Negaprion_brevirostris,,demersal,low,ballistic,finfish_fishbase,176100,fisebase_240cm common length,ERG,Electrophysiology,,37,37,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Elasmobranchii,Thornback ray,Platyrhinoidis triseriata,Platyrhinoidis_triseriata,"Platyrhinoidis triseriataÊJordan & Gilbert, 1880",demersal,low,forage,"Feeds on small sand-dwelling crustaceans, worms and mollusks_fishebase",903,fishbase_using_91cm_length_scaling_of_b_3.04_and_a_0.001,ERG,Electrophysiology,range,45,60,"range of individual lower fusion frequency (not averaged) ; (""equivalent to the critical flicker frequency (CFF)"") ; more accurate determination not satisfactory ",,
"KARAMURSEL, S; BULLOCK, TH 1994 DYNAMICS OF EVENT-RELATED POTENTIALS TO TRAINS OF LIGHT AND DARK FLASHES - RESPONSES TO MISSING AND EXTRA STIMULI IN ELASMOBRANCH FISH DYNAMICS OF EVENT-RELATED POTENTIALS TO TRAINS OF LIGHT AND DARK FLASHES - RESPONSES TO MISSING AND EXTRA STIMULI IN ELASMOBRANCH FISH KARAMURSEL, S; BULLOCK, TH",y,H,Elasmobranchii,Thornack ray,Platyrhinoidis triseriata,Platyrhinoidis_triseriata,"Platyrhinoidis triseriataÊJordan & Gilbert, 1880",demersal,low,forage,based_on_annelid_and_other_slow_moving_species_in_diet_fishbase,903,fishbase_using_91cm_length_scaling_of_b_3.04_and_a_0.001,ERG,Electrophysiology,minimum,20,20,diagram reading (Fig. 6.); still esrponses at that frequency,,
"Green, D. G., & Siegel, I. M. (1975). Double branched flicker fusion curves from the all-rod skate retina. Science, 188(4193), 1120–1122. https://doi.org/10.1126/science.1215989",y,,Elasmobranchii,Winter skate,Leucoraja ocellata,Leucoraja_ocellata,,demersal,low,forage,"McEachran, J. D., D. F. Boesch, and J. A. Musick. 1976. “Food Division within Two Sympatric Species-Pairs of Skates (Pisces: Rajidae).” Marine Biology 35(4): 301–17.",1537.13,fisebase_60cm_common_length,ERG,Electrophysiology,,30,,,,
"BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK 1990 DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS DYNAMIC PROPERTIES OF VISUAL EVOKED-POTENTIALS IN THE TECTUM OF CARTILAGINOUS AND BONY FISHES, WITH NEUROETHOLOGICAL IMPLICATIONS BULLOCK, TH; HOFMANN, MH; NEW, JG; NAHM, FK",y,M,Elasmobranchii,Shovelnose guitarfish,Rhinobatos productus,Rhinobatos_productus,"Pseudobatos productusÊAyres, 1854",demersal,low,forage,"Feeds on small sand-dwelling crustaceans, worms and mollusks_fishebase",265.22,fisebase_43.5cm_common_length,ERG,Electrophysiology,maximum,30,30,individual lower fusion frequency (not averaged),,
"Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran 2009 Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Temporal analysis of electroretinographic responses in fishes with rod-dominated and mixed rod-cone retina Milosevic, Milena; Visnjic-Jeftic, Zeljka; Damjanovic, Ilija; Nikcevic, Miroslav; Andjus, Pavle; Gacic, Zoran",y,M,Elasmobranchii,Smallspotted catshark,Scyliorhinus canicula,Scyliorhinus_canicula,"Scyliorhinus caniculaÊLinnaeus, 1758",demersal,low,forage,Fishbase_mostly_slow_moving_benthic_prey,781.51,fishbase 60cm common length,ERG,Electrophysiology,mean,3.2,3.2,"mean ; not maximum light intensity; ""moderately deep sea""",,
"McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M. 2010 Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments Temporal Resolution and Spectral Sensitivity of the Visual System of Three Coastal Shark Species from Different Light Environments McComb, D. Michelle; Frank, Tamara M.; Hueter, Robert E.; Kajiura, Stephen M.",y,M,Elasmobranchii,Scalloped Hammerhead,Sphyrna lewini,Sphyrna_lewini,"Sphyrna lewiniÊGriffith & Smith, 1834",pelagic,low,ballistic,feeds_on_finfish_but_also_benthic_food_from_fishbase,291391.12,fisebase_360cm common length,ERG,Electrophysiology,mean,27.3,30.5,"mean; photopic for CFF (max irradiance); and scotopic 25,1 ± 2,53 Hz;""shallow"" but turbid bay considered a Low light exposure (following Healy et al. (2013))",,
